"Name","Att.%","SSC19/10","Gru19/10","SSC17/10","SSC12/10","Gru12/10","SSC10/10","SSC3/10","SSC28/9","Gru28/9","SSC26/9","SSC21/9","Gru19/9","Gru14/9","Kar12/9","Gru7/9","Kar5/9"
"Aggropolice","6%","","","","","1","","","","","","","","","","",""
"Aimar","6%","","","","","1","","","","","","","","","","",""
"Aniothable","6%","","","1","","","","","","","","","","","","",""
"Arrbi","6%","","","","","","","","","","","","","1","","",""
"Bawdy","6%","","","","","","","","","","1","","","","","",""
"Blowmeister","6%","","","","","","","","","","","1","","","","",""
"Brenonna","6%","","1","","","","","","","","","","","","","",""
"Bærlinwall","6%","","","","1","","","","","","","","","","","",""
"Bôôg","6%","","1","","","","","","","","","","","","","",""
"Ckydayle","62%","1","1","","","","","1","1","1","1","1","1","1","","1",""
"Cloudfire","31%","","","1","","","1","","","","","","","1","1","1",""
"Daxa","81%","1","","1","1","1","1","1","1","1","1","1","1","1","","1",""
"Deekin","68%","1","1","1","1","1","1","1","","","1","","1","1","","1",""
"Doomhere","6%","1","","","","","","","","","","","","","","",""
"Dragh","6%","1","","","","","","","","","","","","","","",""
"Enemy","12%","","","","","","","","","","","","1","","","","1"
"Fourxxz","81%","1","1","1","1","1","1","1","1","1","1","1","","1","","1",""
"Gargonzala","43%","","","","","","","1","1","1","1","","1","","1","1",""
"Garzhik","25%","1","1","1","","1","","","","","","","","","","",""
"Gogoroth","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Harahsjorn","50%","","","1","","","1","1","1","1","","1","1","","","1",""
"Harmlessharm","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Hipster","62%","1","1","","1","1","1","1","1","1","","1","","","","1",""
"Ixam","93%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",""
"Kaarism","81%","1","1","","1","1","1","","1","1","1","1","1","1","1","1",""
"Keyzer","81%","1","1","1","","","1","1","1","1","1","1","1","1","","1","1"
"Kloro","6%","","","","","","","","","","","","","1","","",""
"Kroggar","93%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",""
"Kurtizzle","6%","1","","","","","","","","","","","","","","",""
"Lilypad","31%","","","1","1","1","1","1","","","","","","","","",""
"Malið","12%","","","","","","","","","","","","","1","","1",""
"Mayyday","75%","","","1","1","1","1","1","1","","1","1","1","1","","1","1"
"Mypka","75%","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"Nerfh","93%","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1"
"Nespherus","75%","1","1","1","1","1","1","1","1","1","","","1","1","","1",""
"Nóddy","81%","1","1","1","","","1","1","1","1","1","1","1","1","","1","1"
"Pyhton","6%","","","","1","","","","","","","","","","","",""
"Quelzan","68%","","","","1","1","1","1","1","1","1","1","1","1","","1",""
"Razgore","43%","","","","","","","1","1","1","1","1","1","1","","",""
"Royalblood","37%","","","","","","","","1","1","","1","1","1","","1",""
"Silenzio","87%","1","1","1","1","1","1","1","1","1","1","1","1","1","","1",""
"Tahuk","37%","","","1","1","1","1","","","","1","","","","1","",""
"Talasi","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Thaalia","62%","1","","","","1","1","1","1","1","1","1","1","","","","1"
"Undergang","68%","1","1","1","","","","","1","1","1","1","1","1","","1","1"
"Vuksa","6%","","","1","","","","","","","","","","","","",""
"Woki","25%","1","1","1","","","","","","","","","1","","","",""
"Yojo","12%","","","","1","1","","","","","","","","","","",""
"Zarkov","81%","1","1","1","1","1","1","1","1","1","1","1","1","1","","",""
"Zulnabor","37%","","","","","","1","1","","","1","1","","1","","1",""
