"Name","Att.%","SSC2/11","Gru2/11","SSC31/10","SSC26/10","Gru26/10","SSC24/10","SSC19/10","Gru19/10","SSC17/10","SSC12/10","Gru12/10","SSC10/10","SSC3/10","SSC28/9","Gru28/9","SSC26/9"
"Aggropolice","6%","","","","","","","","","","","1","","","","",""
"Aimar","6%","","","","","","","","","","","1","","","","",""
"Aniothable","31%","","","1","1","1","1","","","1","","","","","","",""
"Bawdy","6%","","","","","","","","","","","","","","","","1"
"Brenonna","12%","","","","","1","","","1","","","","","","","",""
"Bærlinwall","6%","","","","","","","","","","1","","","","","",""
"Bôôg","12%","","1","","","","","","1","","","","","","","",""
"Ckydayle","62%","1","1","","1","1","","1","1","","","","","1","1","1","1"
"Cloudfire","31%","1","1","1","","","","","","1","","","1","","","",""
"Daxa","87%","1","","1","1","1","1","1","","1","1","1","1","1","1","1","1"
"Deekin","87%","1","1","1","1","1","1","1","1","1","1","1","1","1","","","1"
"Doomhere","6%","","","","","","","1","","","","","","","","",""
"Dragh","6%","","","","","","","1","","","","","","","","",""
"Fourxxz","93%","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1"
"Gargonzala","25%","","","","","","","","","","","","","1","1","1","1"
"Garzhik","62%","1","1","1","1","1","1","1","1","1","","1","","","","",""
"Gogoroth","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Harahsjorn","43%","1","1","","","","","","","1","","","1","1","1","1",""
"Harmlessharm","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Hipster","81%","1","1","1","1","1","","1","1","","1","1","1","1","1","1",""
"Ixam","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Kaarism","81%","1","1","","1","1","1","1","1","","1","1","1","","1","1","1"
"Karosh","6%","","","","1","","","","","","","","","","","",""
"Keyzer","87%","1","1","1","1","1","1","1","1","1","","","1","1","1","1","1"
"Kroggar","81%","","","","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Kurtizzle","6%","","","","","","","1","","","","","","","","",""
"Lahocla","12%","","","1","","","1","","","","","","","","","",""
"Lilypad","68%","1","1","1","1","1","1","","","1","1","1","1","1","","",""
"Mayyday","81%","1","1","1","1","1","1","","","1","1","1","1","1","1","","1"
"Mypka","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nerfh","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nespherus","93%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",""
"Nóddy","81%","1","1","1","","1","1","1","1","1","","","1","1","1","1","1"
"Pyhton","6%","","","","","","","","","","1","","","","","",""
"Quelzan","81%","1","1","1","1","1","1","","","","1","1","1","1","1","1","1"
"Razgore","25%","","","","","","","","","","","","","1","1","1","1"
"Royalblood","12%","","","","","","","","","","","","","","1","1",""
"Silenzio","68%","","","1","","","","1","1","1","1","1","1","1","1","1","1"
"Tahuk","62%","1","1","1","1","1","","","","1","1","1","1","","","","1"
"Talasi","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Thaalia","75%","1","1","1","1","","1","1","","","","1","1","1","1","1","1"
"Undergang","68%","1","1","","1","1","1","1","1","1","","","","","1","1","1"
"Vuksa","6%","","","","","","","","","1","","","","","","",""
"Woki","25%","","","","","","1","1","1","1","","","","","","",""
"Yleky","6%","","","","","","1","","","","","","","","","",""
"Yojo","12%","","","","","","","","","","1","1","","","","",""
"Zarkov","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Zentra","6%","","","1","","","","","","","","","","","","",""
"Zulnabor","18%","","","","","","","","","","","","1","1","","","1"
